PointInTimeDt,Pos #,FTE,ClsInd,JobCd,Job Title,Union,Dept ID,Department,Dept,DeptType,Network,Network2,Zipcode,Type,Special Ed,Bilingual,Science,Math,Arts,Early Childhood,Physical Ed,Counselor,Clinician,Library,World Language,JobProfileDesc
8/21/2024,620756,1,Tchr,500629,Special Education Teacher,CTU,25351,Jesse Sherwood School,Sherwood,School-Based,ISP,ISP,60621,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,610171,1,Tchr,49,Regular Teacher,CTU,25351,Jesse Sherwood School,Sherwood,School-Based,ISP,ISP,60621,,,,,,,,,,,,,4-5 REG Gen Ed
8/21/2024,664502,0.5,Tchr,600063,Case Manager,CTU,25361,James Shields Elem School,Shields El,School-Based,Network 08,Network 08,60632,,,,,,,,,,,,,
8/21/2024,673309,0.5,Tchr,600063,Case Manager,CTU,25371,Beulah Shoesmith School,Shoesmith,School-Based,Network 09,Network 09,60615,,,,,,,,,,,,,
8/21/2024,620757,1,Tchr,500629,Special Education Teacher,CTU,25371,Beulah Shoesmith School,Shoesmith,School-Based,Network 09,Network 09,60615,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,673426,0.5,Tchr,49,Regular Teacher,CTU,25371,Beulah Shoesmith School,Shoesmith,School-Based,Network 09,Network 09,60615,,,,,,,,,,,,,"PreK-3 REG Gen Ed, 4-5 REG Gen Ed"
8/21/2024,127513,1,Tchr,49,Regular Teacher,CTU,25371,Beulah Shoesmith School,Shoesmith,School-Based,Network 09,Network 09,60615,PhysEd,,,,,,,PhysEd,,,,,K-8 REG Physical Ed
8/21/2024,112449,1,Tchr,49,Regular Teacher,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,,,,,,,,,,,,,"PreK-3 REG Gen Ed, 4-5 REG Gen Ed"
8/21/2024,123752,1,Tchr,49,Regular Teacher,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,457091,1,Tchr,49,Regular Teacher,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,Science,,,Science,,,,,,,,,6-8 REG Science
8/21/2024,624891,0.5,Tchr,600063,Case Manager,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,,,,,,,,,,,,,
8/21/2024,623713,1,Tchr,49,Regular Teacher,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,Arts,,,,,Arts,,,,,,,K-8 REG Fine Arts
8/21/2024,127521,1,Tchr,49,Regular Teacher,CTU,25381,Shoop Math Sci Tech Acad,Shoop,School-Based,Network 13,Network 13,60643,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,600675,1,Tchr,500629,Special Education Teacher,CTU,25391,Theophilus Schmid School,Schmid,School-Based,Network 12,Opp Schools FY19-24,60628,Spec Ed,Spec Ed,,,,,,,,,,,"PreK-3 SPED LBS, 6-8 SPED LBS, 4-5 SPED LBS"
8/21/2024,624835,1,Tchr,500629,Special Education Teacher,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,Spec Ed,Spec Ed,,,,,,,,,,,PreK-3 SPED LBS
8/21/2024,604781,0.5,Tchr,600063,Case Manager,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,,,,,,,,,,,,,
8/21/2024,612662,1,Tchr,600755,Lead Coach,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,,,,,,,,,,,,,
8/21/2024,623408,1,Tchr,49,Regular Teacher,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,,,,,,,,,,,,,6-8 REG Reading
8/21/2024,583139,1,Tchr,500629,Special Education Teacher,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,142514,1,Tchr,500629,Special Education Teacher,CTU,25411,John M Smyth School,Smyth,School-Based,Network 06,Opp Schools FY19-24,60608,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,674059,1,ESP,463,Teacher Assistant,CTU,25431,Hannah G Solomon School,Solomon,School-Based,Network 01,Network 01,60659,Spec Ed,Spec Ed,,,,,,,,,,,
8/21/2024,138949,1,Tchr,500629,Special Education Teacher,CTU,25471,Adlai E Stevenson School,Stevenson,School-Based,Network 10,Network 10,60652,Spec Ed,Spec Ed,,,,,,,,,,,PreK-3 SPED LBS
8/21/2024,620073,1,Tchr,49,Regular Teacher,CTU,25471,Adlai E Stevenson School,Stevenson,School-Based,Network 10,Network 10,60652,PhysEd,,,,,,,PhysEd,,,,,K-8 REG Physical Ed
8/21/2024,348826,1,Tchr,500629,Special Education Teacher,CTU,25471,Adlai E Stevenson School,Stevenson,School-Based,Network 10,Network 10,60652,Spec Ed,Spec Ed,,,,,,,,,,,"PreK-3 SPED LBS, 4-5 SPED LBS"
8/21/2024,619299,1,Tchr,49,Regular Teacher,CTU,25491,Dunne Technology Acad,Dunne,School-Based,Network 13,Network 13,60628,Math,,,,Math,,,,,,,,4-5 REG Gen Ed
8/21/2024,601367,1,Tchr,49,Regular Teacher,CTU,25541,New Sullivan Elem,Nw Sullivn,School-Based,Network 12,Network 12,60617,PhysEd,,,,,,,PhysEd,,,,,K-8 REG Physical Ed
8/21/2024,433387,1,Tchr,500629,Special Education Teacher,CTU,25541,New Sullivan Elem,Nw Sullivn,School-Based,Network 12,Network 12,60617,Spec Ed,Spec Ed,,,,,,,,,,,6-8 SPED LBS
8/21/2024,600184,1,Tchr,500629,Special Education Teacher,CTU,25541,New Sullivan Elem,Nw Sullivn,School-Based,Network 12,Network 12,60617,Spec Ed,Spec Ed,,,,,,,,,,,"PreK-3 SPED LBS, 6-8 SPED LBS, 4-5 SPED LBS"
8/21/2024,652801,0.5,Tchr,39,Part-Time Teacher,CTU,25561,Elizabeth H Sutherland School,Sutherland,School-Based,Network 10,Network 10,60643,Spec Ed,Spec Ed,,,,,,,,,,,"4-5 SPED LBS, 6-8 SPED LBS"
8/21/2024,620386,1,ESP,505051,Restorative Justice Coord,CTU,25571,George B Swift Specialty Schoo,Swift,School-Based,Network 02,Network 02,60660,,,,,,,,,,,,,
